CODEPEOPLE;CODESTREETR;CODESTREETF
980110000406;298000000795;298000002468
980090000514;298000000587;298000000587
980090000527;298000000782;298000000782
980090000528;298000000782;298000000782
980090000533;298000000994;
980090000477;298000000782;298000000782
980090000480;298000000585;298000000585
980090000486;298000000587;298000000587
980090000495;298000000529;298000000529
980090000496;298000000789;298000000789
980090000499;298000000350;298000000350
980090000501;298000000587;298000000587
980090000505;298000000587;298000000587
980090000530;298000000782;298000000782
980090000536;298000000782;298000000782
980090000483;298000000957;298000000957
980090000484;298000000587;298000000587
980090000488;298000000782;298000000782
980090000491;298000000363;298000000363
980150000353;298000000365;
980150000351;298000000508;
980150000320;298000000941;
980150000349;298000000927;
980150000357;298000001063;
980150000342;298000000575;
980150000343;298000000508;
980150000325;298000001007;
980150000326;298000000610;
980150000337;298000000702;
980150000339;298000000409;
980150000344;298000000508;
980150000355;298000000702;
980150000319;298000001063;
980150000328;298000000610;
980150000356;298000000879;
980040000304;298000000934;298000000934
980040000311;298000000457;298000000457
980040000318;298000000688;298000000688
980040000337;298000000934;298000000934
980040000345;298000000804;298000000804
980040000291;298000000653;298000000653
980040000297;298000000359;298000000359
980040000328;298000000615;298000000615
980040000347;298000000804;
980040000371;298000000542;298000000542
980040000298;298000000359;298000000359
980040000310;298000000974;298000000974
980040000329;298000000934;298000000934
980040000331;298000000934;298000000934
980170000538;298000000385;298000000385
980170000509;298000000823;298000000823
198000000716;298000001091;298000001091
198000000717;298000000700;298000000700
198000000718;298000001091;298000001091
198000000719;298000001091;298000001091
198000000720;298000001091;298000001091
198000000721;298000000940;298000000940
198000000722;298000000478;298000000478
198000000723;298000000478;298000000478
198000000724;298000001076;298000001076
198000000725;298000001077;298000001077
198000000726;298000000419;298000000419
198000000727;298000000620;298000000620
198000000728;298000000620;298000000620
198000000729;298000000429;298000000429
198000000730;298000000429;298000000429
198000000733;298000001076;298000001076
198000000734;;298000001145
198000000735;298000000508;298000000508
198000000736;298000000620;298000000620
198000000737;298000000984;298000000984
198000000738;298000000984;298000000984
980100000617;298000001009;298000001009
980080000610;298000001168;298000001168
980080000614;298000000609;298000000609
980080000620;298000000762;298000000762
980080000621;298000000893;298000000893
980080000623;298000000893;298000000893
980080000628;298000000936;298000000936
980080000685;298000001161;298000001161
980080000686;298000000767;298000000767
980080000693;298000001110;298000001110
980080000694;298000001110;298000001110
980080000701;298000000718;298000000718
980080000704;298000001140;298000001140
980080000555;298000001168;298000001168
980080000595;298000001152;298000001152
980080000600;298000000936;298000000936
980080000601;298000000761;298000000761
980080000618;298000000636;298000000636
980080000667;298000000940;298000000940
980080000671;298000001045;298000001045
980080000673;298000001116;298000001116
980080000630;298000000560;298000000560
980080000640;298000001107;298000001107
980080000689;298000000767;298000000767
980080000690;298000001176;298000001176
980030000427;298000000617;298000000617
980030000406;298000000557;298000000557
980030000414;298000000400;298000000400
980030000421;298000000934;298000000934
980030000393;298000000557;298000000557
980030000404;298000000557;298000000557
980030000384;298000000653;298000000653
980030000426;298000000483;298000000483
980030000371;298000001002;298000001002
980030000412;298000000723;298000000723
980030000394;298000000557;298000000557
980030000415;298000000400;298000000400
198000000802;298000001271;298000001271
198000000801;298000000513;298000000513
198000000803;298000000887;298000000887
198000000805;298000000620;298000000620
198000000806;298000000887;298000000887
198000000807;298000000620;298000000620
198000000808;298000000716;298000000716
198000000809;298000000705;298000000705
198000000810;298000001282;298000001282
198000000811;298000000719;298000000719
198000000812;298000000719;298000000719
198000000814;298000000719;298000000719
198000000815;298000000829;298000000829
198000000816;298000000719;298000000719
198000000817;298000001076;
198000000818;298000001076;298000001076
198000000819;298000001076;298000001076
198000000821;298000001293;298000001293
198000000822;298000000850;298000000850
198000000823;298000001293;298000001293
198000000825;298000001293;298000001293
198000000827;298000001241;298000001241
198000000829;298000001260;298000001260
980080000763;298000001300;298000001300
980080000771;298000001248;298000001248
980080000772;298000001320;298000001320
980080000776;298000000766;298000000766
980080000780;298000000936;298000000936
980080000784;298000001077;298000001077
980080000788;298000001303;298000001303
980080000789;298000001303;298000001303
980080000795;298000001108;298000001108
980080000797;298000001108;298000001108
980080000799;298000000713;298000000713
980080000803;298000000708;298000000708
980080000824;298000000623;298000000623
980080000777;298000000413;298000000413
980080000779;298000000893;298000000893
980080000783;298000000713;298000000713
980080000796;298000001275;298000001275
980080000801;298000000984;298000000984
980080000829;298000001024;298000001024
980080000790;298000000602;298000000602
980080000800;298000000713;298000000713
980030000494;298000000483;298000000483
980030000527;298000000700;298000000700
980030000528;298000000700;
980030000532;298000000934;298000000934
980030000546;298000000608;298000000608
980030000496;298000000483;298000000483
980030000497;298000000483;298000000483
980030000490;298000000933;298000000933
980030000501;298000000920;298000000920
980030000504;298000001256;298000001256
980030000491;298000000933;298000000933
980030000493;298000000803;298000000803
980030000507;298000000796;298000000796
980090000805;298000000864;298000000864
980090000815;298000000586;298000000586
980090000817;298000000782;298000000782
980090000823;298000001255;298000001255
980090000824;298000001255;298000001255
980090000835;298000000587;298000000587
980090000784;298000000782;298000000782
980090000791;298000001302;298000001302
980090000797;298000000587;298000000587
980090000827;298000001254;298000001254
980090000830;298000001317;298000001317
980090000781;298000001249;298000001249
980090000785;298000000782;298000000782
980090000786;298000001238;298000001238
980090000792;298000001239;298000001239
980090000795;298000000553;298000000553
980090000804;298000000587;298000000587
980090000834;298000000866;298000000866
980090000836;298000000782;298000000782
980090000820;298000001009;298000001009
980090000800;298000001296;298000001296
980090000818;298000001009;298000001009
980090000825;298000001255;298000001255
198000000757;298000001241;298000001241
198000000774;298000000419;298000000419
198000000800;298000001271;298000001271
198000000813;298000000719;298000000719
198000000831;298000000984;298000000984
198000000839;298000000381;298000000381
198000000857;298000000714;298000000714
198000000880;298000000478;298000000478
198000000898;298000000873;298000000873
980080000812;298000001253;298000001253
980080000826;298000000623;298000000623
980070000679;298000001023;298000001023
980070000686;298000000714;298000000714
980080000785;298000001077;298000001077
980080000798;298000000846;298000000846
980070000640;298000000620;298000000620
980090000809;298000001322;298000001322
980100000743;298000001316;298000001316
980100000763;298000001267;298000001267
980170000422;298000000526;298000000526
980170000428;298000000526;298000000526
980170000430;298000000724;298000000724
980170000405;298000000678;298000000678
980170000417;298000000438;298000000438
980170000424;298000000900;298000000900
980170000441;298000000901;298000000901
980170000407;298000000900;298000000900
980170000418;298000000823;298000000823
980170000419;298000000774;298000000774
980170000438;298000000900;298000000900
980170000413;298000000526;298000000526
980170000431;298000000526;298000000526
980170000435;298000000900;298000000900
980170000436;298000000479;298000000479
980170000444;298000000900;298000000900
980170000408;298000000900;298000000900
980170000442;298000000513;298000000513
980170000411;298000001037;298000001037
980170000415;298000000524;298000000524
980170000429;298000000524;298000000524
980170000432;298000000526;298000000526
980170000443;298000000900;298000000900
980080000307;298000000428;298000000428
980080000308;298000000428;298000000428
980080000311;298000000419;298000000419
980080000354;298000000903;298000000903
980080000213;298000000764;298000000764
980080000237;298000000574;298000000574
980080000281;298000000714;298000000714
980080000288;298000000620;298000000620
980080000297;298000000711;298000000711
980080000299;298000000887;298000000887
980080000317;298000000850;298000000850
980080000335;298000000514;298000000514
980080000355;298000000977;298000000977
980080000356;298000000977;298000000977
980080000357;298000000568;298000000568
980080000365;298000000708;
980080000366;298000000514;298000000514
980080000185;298000001026;298000001026
980080000188;298000000714;298000000714
980080000191;298000000372;298000000372
980080000203;298000000560;298000000560
980080000211;298000000764;298000000764
980080000235;298000001076;298000001076
980080000239;298000000765;298000000765
980040000182;298000000483;298000000483
980040000186;298000000746;298000000746
980040000195;298000000976;298000000976
980040000199;298000000753;298000000753
980040000203;298000000557;298000000557
980040000161;298000000796;298000000796
980040000177;298000000412;298000000412
980040000178;298000000412;298000000412
980040000179;298000000604;298000000604
980040000180;298000000974;298000000974
980040000200;298000000753;298000000753
980040000201;298000000904;298000000904
980040000206;298000000933;298000000933
980040000156;298000000976;298000000976
980040000194;298000000557;298000000557
980040000196;298000000557;298000000557
980040000208;298000000617;298000000617
980040000215;298000000639;298000000639
980040000138;298000000976;298000000976
980090000502;298000000587;298000000587
980090000510;298000000587;298000000587
980090000539;298000000782;298000000782
980090000470;298000000553;298000000553
980090000487;298000000587;298000000587
980090000493;298000000363;298000000363
980090000518;298000000585;298000000585
980090000531;298000000782;298000000782
980090000534;298000000782;298000000782
980090000469;298000000553;298000000553
980090000472;298000000588;298000000588
980090000473;298000001066;298000001066
980090000482;298000000585;298000000585
980090000485;298000000864;298000000864
980090000512;298000000782;298000000782
980090000515;298000000587;298000000587
980090000516;298000000587;298000000587
980090000521;298000000782;298000000782
980090000541;298000001059;298000001059
980090000492;298000000363;298000000363
980150000327;298000000610;
980100000546;298000000929;298000000929
980100000564;298000000662;298000000662
980100000524;298000000587;298000000587
980100000527;298000000732;298000000732
980100000532;298000000585;298000000585
980100000541;298000000664;298000000664
980100000550;298000000587;298000000587
980100000559;298000000782;298000000782
980100000566;298000000867;
980100000521;298000000881;
980100000522;298000000782;298000000782
980100000551;298000000587;298000000587
980100000515;298000000959;298000000959
980100000542;298000000555;298000000555
980100000558;298000000782;298000000782
980100000560;298000000482;298000000482
980100000517;298000000782;298000000782
980100000526;298000000587;298000000587
980100000556;298000000585;298000000585
980040000296;298000000359;298000000359
980040000300;298000000359;298000000359
980040000321;298000000882;298000000882
980040000285;298000001017;298000001017
980040000323;298000000974;
980040000352;298000000804;298000000804
980140000290;298000000510;298000000510
980100000059;298000000782;298000000782
980140000287;298000000599;298000000599
980150000061;298000000925;
980170000247;298000001078;298000001078
980090000410;298000000487;298000000487
980150000146;298000000702;
980110000295;298000000961;298000000961
980100000156;298000000739;298000000739
980080000283;298000000757;298000000757
198000000132;298000000811;298000000811
980180000318;298000000524;298000000524
980160000092;298000000661;
980110000204;298000000593;298000000593
980120000237;298000000740;298000000740
980100000618;298000001009;298000001009
980100000621;298000001044;298000001044
980100000624;298000001121;298000001121
980100000651;298000000664;298000000664
980100000661;298000000782;
980100000663;298000000782;298000000782
980100000616;298000001009;298000001009
980100000622;298000000587;298000000587
980100000644;298000000585;298000000585
980100000656;298000000914;298000000914
980100000652;298000000487;298000000487
980100000623;298000000992;298000000992
980100000625;298000000587;298000000587
980100000647;298000001155;298000001155
980100000655;298000000587;
980100000649;298000000785;298000000785
980100000662;298000000782;298000000782
980100000627;298000000782;298000000782
980100000633;298000000354;298000000354
980080000695;298000001110;298000001110
980080000696;298000001110;298000001110
980080000702;298000000887;298000000887
980080000706;298000000978;298000000978
980080000548;298000000944;298000000944
980080000551;298000000618;298000000618
980080000557;298000000887;298000000887
980080000575;298000000887;298000000887
980080000577;298000001153;298000001153
980080000580;298000000522;298000000522
980080000586;298000001076;298000001076
980080000593;298000000714;298000000714
980080000603;298000001160;298000001160
980080000652;298000000624;298000000624
980080000659;298000000419;298000000419
980080000661;298000000984;298000000984
980080000612;298000001168;298000001168
980080000622;298000000893;298000000893
980080000670;298000001045;298000001045
980080000633;298000000571;298000000571
980080000636;298000000618;298000000618
980080000675;298000000512;298000000512
980080000680;298000001136;298000001136
980080000682;298000001161;298000001161
980030000419;298000001058;298000001058
980030000420;298000000975;298000000975
980030000386;298000000653;
980030000387;298000000359;298000000359
980030000395;298000000933;298000000933
980030000396;298000000933;
980030000401;298000001090;298000001090
980030000405;298000000557;298000000557
980030000416;298000000400;298000000400
980030000373;298000001002;298000001002
980030000380;298000000559;298000000559
980030000385;298000000653;298000000653
980030000390;298000000933;298000000933
980030000410;298000000609;298000000609
980030000418;298000001058;298000001058
980030000430;298000000761;
198000000834;298000000381;298000000381
198000000837;298000000984;298000000984
198000000846;298000000429;298000000429
198000000845;298000000705;298000000705
198000000849;298000000887;298000000887
198000000850;298000000850;298000000850
198000000851;298000000807;298000000807
198000000852;298000000850;298000000850
